HECW1-IT1	0	1	0	0	5	3	0	4	1839
LOC100127974	103	94	82	104	57	60	33	34	2196
LOC100127983	616	684	589	733	81	102	111	80	1053
LOC100128002	3	0	4	3	23	18	24	17	2697
DPPA2P3	0	0	0	1	0	0	0	0	1146
LOC100128028	66	59	48	61	32	42	27	35	1957
LOC100128054	7	6	5	1	19	13	24	13	1408
SMARCA5-AS1	4	4	2	1	9	10	6	4	945
LOC100128059	2	7	1	4	2	4	4	0	2185
FAM229A	312	376	350	494	309	359	341	327	699
LOC100128076	61	44	52	69	297	334	287	276	2012
LOC100128077	74	67	75	82	12	17	7	6	603
JAZF1-AS1	6	9	2	6	435	465	431	457	1194
ST8SIA6-AS1	161	212	165	228	7	3	7	4	557
LOC100128105	2	2	4	9	4	6	3	4	494
HGC6.3	8	7	3	8	205	208	200	150	1016
LOC100128130	319	340	243	394	30	37	29	26	2044
LOC100128131	1	0	0	0	93	71	71	61	3103
LOC100128139	3	1	1	0	2	4	7	3	568
LOC100128160	0	1	0	0	0	0	0	0	516
LOC100128164	172	211	160	341	480	644	446	547	7012
LOC100128174	0	0	1	1	1	1	2	1	213
TMPO-AS1	1331	1506	1241	1759	82	105	107	111	3161
LOC100128239	29	22	26	46	1112	1285	1019	1136	2299
LOC100128242	325	414	322	458	109	121	118	109	1094
LOC100128252	814	870	745	1116	5483	5984	5462	5134	1783
LOC100128253	17	27	21	20	198	227	196	142	2454
FAM90A28P	5	0	2	4	0	0	2	1	1815
WASIR1	29	34	33	47	46	33	28	24	1209
LOC100128262	23	19	19	25	37	35	20	31	2097
LOC100128264	39	38	30	43	2825	2938	2760	2538	2703
LOC100128276	40	42	43	55	152	122	121	136	1063
DNM1P35	227	230	210	277	863	937	843	818	7300
LOC100128288	348	389	328	456	803	835	756	735	2129
DLG5-AS1	74	77	77	86	134	149	129	116	3014
LOC100128302	140	129	113	139	55	61	55	50	453
LOC100128310	68	68	61	86	7	3	5	6	2000
LOC100128326	65	53	29	64	14	15	5	13	1190
BET3L	27	22	16	25	3	2	5	2	1113
LOC100128334	1	2	0	4	1	6	6	3	1013
LOC100128338	943	985	800	1094	56	65	55	50	2737
LOC100128340	53	50	58	66	208	289	200	196	879
LOC100128343	31	32	19	51	14	17	10	6	1970
LOC100128355	19	16	20	20	10	2	12	4	1005
LOC100128361	480	449	411	579	227	232	230	196	2484
LOC100128364	10	10	13	9	1041	1219	1038	929	2209
LOC100128371	5	4	4	9	6	5	7	13	498
LOC100128374	10	13	11	14	25	38	29	36	2967
LINC00696	1	3	4	2	0	1	0	0	3019
FAM225B	381	328	296	480	359	433	344	344	5806
LOC100128398	290	324	250	376	955	1020	949	920	1897
AZFP	16	8	15	9	68	62	71	80	1108
LOC100128482	1	0	2	1	1	0	4	2	462
C20ORF78	2	1	1	0	0	0	0	0	617
LOC100128505	5	1	1	3	0	2	3	3	1756
LOC100128508	3	2	5	6	4	3	3	2	1953
NEBL-AS1	12	21	8	17	93	96	82	86	514
LOC100128542	178	181	145	228	56	63	66	62	486
CTAGE4	104	152	128	157	21	27	22	28	2626
LOC100128554	3	0	0	1	136	152	122	130	2629
LOC100128563	14	12	17	17	15	14	11	1	1628
C19ORF71	2705	2549	2053	3353	1506	1587	1289	1197	671
LOC100128573	11	20	14	10	15	18	12	13	525
ARMCX3-AS1	2	2	7	5	46	58	60	58	710
SLC8A1-AS1	19	11	21	19	80	75	58	49	1002
LOC100128593	3	4	3	9	51	29	27	26	2702
LOC100128596	1938	1927	1794	2839	2061	2530	1949	1974	471
ACVR2B-AS1	354	400	315	453	239	245	222	215	2517
LOC100128644	38	35	25	48	162	126	132	112	608
LOC100128653	422	408	326	542	177	162	158	160	2427
LOC100128655	0	0	0	0	0	0	0	0	510
LOC100128675	23	41	27	35	577	604	590	554	4617
OST4	9024	9062	7765	12713	3174	3333	3025	3082	487
LOC100128750	85	101	87	114	10	12	11	14	1036
LOC100128751	7	4	3	2	0	4	1	0	2251
LOC100128770	137	155	114	154	96	92	78	67	3061
LINC00476	777	827	715	977	1724	1938	1749	1594	9171
GS85	8	7	7	9	14	8	10	14	1920
SRRM2-AS1	94	102	119	150	50	40	36	32	1645
GPR158-AS1	1	1	4	2	161	166	121	122	2433
LOC100128816	244	267	238	306	38	37	33	29	1695
LOC100128818	1	3	1	4	8	6	6	8	1378
LOC100128822	803	998	888	1156	1209	1490	1386	1354	1422
LOC100128840	20	7	7	20	1	3	0	2	1717
LOC100128881	1596	1500	1326	2179	425	514	356	397	1753
FAM66B	51	47	50	60	387	436	391	396	1432
LOC100128893	101	126	96	162	1	0	1	2	1788
LOC100128905	2	0	2	3	1	2	1	0	1879
LOC100128908	9	5	8	9	63	48	51	51	2474
LOC100128909	36	57	39	58	31	39	42	31	677
ZBTB42	1341	1435	1151	1809	163	155	98	127	3637
LOC100128946	5	17	18	19	274	306	295	275	4015
MAPT-AS1	2	7	7	3	195	179	151	162	840
LOC100128979	143	152	113	182	127	126	129	140	3567
LOC100128988	30	43	33	43	0	0	2	0	997
C20ORF181	4	1	2	3	13	9	3	3	738
LOC100129027	3	2	5	9	17	17	9	18	3586
LOC100129033	107	93	78	120	21	28	23	24	921
LOC100129034	6108	6527	5453	7800	5225	5893	5404	4956	5714
LOC100129046	214	242	192	282	4	1	4	3	1562
LOC100129055	32	37	24	31	11	34	21	14	2775
LOC100129060	298	290	248	403	222	221	196	197	3204
UNQ6494	3	3	1	7	0	2	4	3	2194
KTN1-AS1	300	235	236	360	53	77	50	66	1512
LOC100129083	8	20	6	20	1	0	1	1	729
LOC100129085	294	360	371	488	471	501	504	514	279
BTNL10	37	47	35	46	6	2	8	6	744
LOC100129098	0	0	0	2	5	5	6	3	2403
LOC100129104	396	436	386	504	240	236	214	181	1851
LOC100129118	1436	1385	1163	1737	846	938	788	779	219
KHDC1L	8	11	2	11	44	47	26	42	635
LOC100129135	0	0	0	0	0	0	0	0	879
LOC100129138	87	72	61	90	72	77	73	80	1224
LOC100129144	2	0	1	0	0	1	0	2	831
LOC100129148	35	49	35	35	42	31	52	45	461
LOC100129195	861	1008	787	1229	1095	1188	1025	1066	1536
MATN1-AS1	373	329	307	404	215	245	179	178	2050
LOC100129201	18	18	23	28	18	20	20	17	282
LOC100129203	60	68	46	82	124	111	141	141	1348
LOC100129204	124	101	87	148	90	88	82	71	687
LOC100129215	157	158	146	185	182	175	144	164	2611
LOC100129216	46	44	25	52	13	29	14	18	213
LOC100129223	7	6	5	13	1312	1409	1243	1184	5979
LOC100129233	7	10	11	6	4	3	8	1	1866
CXORF51A	1	0	1	0	0	0	0	0	436
LOC100129250	276	294	237	333	356	346	321	338	1048
LOC100129269	69	58	59	78	31	41	32	33	1542
C1ORF68	0	0	0	0	0	0	0	0	908
LOC100129307	0	0	0	2	0	0	2	0	1026
LOC100129316	90	69	46	74	77	86	84	64	5249
LOC100129345	0	1	0	1	0	0	0	0	1670
NRADDP	41	56	40	59	23	15	13	11	1012
GABPB1-AS1	2007	2075	1799	2433	728	812	690	621	4139
FAM106CP	6	5	6	3	218	176	197	157	1759
MSTO2P	1304	1363	1052	1697	1065	1079	978	900	2524
LINC00684	1	0	0	0	1	2	1	4	465
RPL19P12	8202	7817	6803	14113	2457	2824	1813	2392	1134
LOC100129427	0	0	0	0	0	0	0	0	1776
LOC100129434	23	29	23	33	153	183	155	146	3075
LOC100129461	6	3	8	11	6	7	6	6	471
LOC100129478	107	103	72	129	35	29	36	25	943
ZNF37BP	3673	3852	3301	4611	7538	8509	7796	7019	8675
LOC100129484	280	251	208	386	646	826	719	756	3364
LOC100129492	3817	4087	3367	5450	945	1033	816	871	360
PP13	27	30	13	32	20	26	43	26	353
LINC00633	4	4	3	3	8	3	4	5	632
LOC100129518	125	131	92	191	166	167	176	138	1718
LOC100129534	345	387	311	476	1328	1365	1164	1205	2248
