SNORD121B	6	2	2	2	4	0	0	3	1	2	93
UCKL1-AS1	31	32	27	27	31	16	6	17	23	24	3571
SNORD127	3	0	0	3	5	4	11	9	19	12	101
SNORD124	14	5	3	20	8	14	1	5	7	7	104
SNORD126	0	0	0	0	0	0	0	0	0	0	99
SNORD11B	2	3	2	4	0	0	0	2	1	0	112
SNORD12B	91	29	23	53	62	6	6	2	2	2	103
SNORD111B	8	0	0	1	3	0	0	0	0	0	94
TMEM170B	403	273	207	281	252	1030	932	922	1653	861	8362
FAM138E	1	6	6	16	5	0	2	0	0	0	1130
SNORD58C	61	17	18	48	15	9	11	14	20	8	90
SCARNA27	2	1	0	1	1	0	0	0	0	0	126
SNORA84	21	19	6	15	1	1	3	8	5	6	133
SNORA36C	0	1	0	0	0	0	0	0	4	0	128
SNORA38B	0	0	0	1	3	0	1	0	2	0	132
SNORA70B	0	0	0	0	0	0	0	0	0	0	134
SNORA70C	0	0	0	0	0	0	1	0	0	0	136
SNORA11B	0	0	0	2	0	0	0	0	0	0	127
SNORA11C	0	0	0	0	0	0	0	0	0	0	127
SNORA11D	6	2	2	12	4	2	1	7	1	6	127
SNORA11E	3	6	6	19	4	0	1	1	1	7	127
LOC100124692	0	10	8	4	7	0	0	0	2	4	3538
HOTAIR	122	85	82	83	75	0	0	1	1	0	2333
ZGLP1	218	119	112	205	60	109	136	208	140	93	1980
FAM86JP	569	480	489	652	167	126	90	138	113	29	2041
FMR1-AS1	20	1	0	6	7	0	0	0	1	0	3026
MIR298	0	1	2	0	0	0	0	0	0	0	88
MIR300	0	0	0	0	0	0	0	0	0	0	83
VTRNA2-1	96	37	38	90	6	0	6	0	0	2	100
MIR509-2	0	0	0	0	0	0	0	0	1	0	91
MIR450B	0	0	0	0	0	0	0	0	0	2	78
MIR890	0	0	1	0	0	1	0	0	0	1	77
MIR891B	0	0	0	0	0	0	0	0	0	0	79
MIR888	0	0	0	0	0	0	0	0	0	0	77
MIR892B	0	0	0	0	0	1	0	1	0	0	77
MIR541	0	0	0	0	0	0	0	0	0	0	84
MIR875	0	0	0	0	1	0	0	0	0	0	76
MIR876	0	0	0	0	0	0	0	0	0	0	81
MIR147B	0	0	0	0	0	0	0	0	0	0	80
MIR744	0	0	1	0	0	0	0	0	0	0	98
MIR877	0	0	2	0	3	0	0	3	1	2	86
